,Year,Pick,Unnamed: 2,BPM,Rank_BPM,Pick.1,Avg_BPM,Rank_Pick
471,2017,52,Edmond Sumner,-3.0,,,,
472,2017,53,Kadeem Allen,-1.2,,,,
473,2017,54,Alec Peters,-2.8,,,,
474,2017,55,Nigel Williams-Goss,-3.9,,,,
475,2017,56,Jabari Bird,-3.1,,,,
476,2017,57,Sasha Vezenkov,-0.9,,,,
477,2017,58,Ognjen Jaramaz,0.0,,,,
478,2017,59,Jaron Blossomgame,-3.8,,,,
479,2017,60,Alpha Kaba,0.0,,,,
480,2018,1,Deandre Ayton,0.7,,,,
481,2018,2,Marvin Bagley III,-1.5,,,,
482,2018,3,Luka Dončić,7.7,,,,
483,2018,4,Jaren Jackson Jr.,0.8,,,,
484,2018,5,Trae Young,2.6,,,,
485,2018,6,Mo Bamba,0.0,,,,
486,2018,7,Wendell Carter Jr.,-0.3,,,,
487,2018,8,Collin Sexton,-1.4,,,,
488,2018,9,Kevin Knox,-4.4,,,,
489,2018,10,Mikal Bridges,0.9,,,,
490,2018,11,Shai Gilgeous-Alexander,5.9,,,,
491,2018,12,Miles Bridges,0.0,,,,
492,2018,13,Jerome Robinson,-4.8,,,,
493,2018,14,Michael Porter Jr.,0.8,,,,
494,2018,15,Troy Brown Jr.,-1.8,,,,
495,2018,16,Zhaire Smith,-6.1,,,,
496,2018,17,Donte DiVincenzo,1.1,,,,
497,2018,18,Lonnie Walker IV,-2.5,,,,
498,2018,19,Kevin Huerter,-1.0,,,,
499,2018,20,Josh Okogie,-1.7,,,,
500,2018,21,Grayson Allen,0.1,,,,
501,2018,22,Chandler Hutchison,-3.9,,,,
502,2018,23,Aaron Holiday,-1.8,,,,
503,2018,24,Anfernee Simons,-1.1,,,,
504,2018,25,Moritz Wagner,0.2,,,,
505,2018,26,Landry Shamet,-1.9,,,,
506,2018,27,Robert Williams,4.7,,,,
507,2018,28,Jacob Evans,-7.4,,,,
508,2018,29,Džanan Musa,-4.6,,,,
509,2018,30,Omari Spellman,-1.5,,,,
510,2018,31,Elie Okobo,-4.1,,,,
511,2018,32,Jevon Carter,-1.4,,,,
512,2018,33,Jalen Brunson,2.4,,,,
513,2018,34,Devonte' Graham,-0.5,,,,
514,2018,35,Melvin Frazier,-10.0,,,,
515,2018,36,Mitchell Robinson,2.1,,,,
516,2018,37,Gary Trent Jr.,-1.3,,,,
517,2018,38,Khyri Thomas,-2.7,,,,
518,2018,39,Isaac Bonga,-3.6,,,,
519,2018,40,Rodions Kurucs,-2.8,,,,
520,2018,41,Jarred Vanderbilt,0.0,,,,
521,2018,42,Bruce Brown,-1.5,,,,
522,2018,43,Justin Jackson,0.0,,,,
523,2018,44,Issuf Sanon,0.0,,,,
524,2018,45,Hamidou Diallo,-2.1,,,,
